Titel,Untertitel,Link,Beschreibung,Stichworte
"""Children of Transition, Children of the Balkan Wars"" - Introduction","Rainer Gries, Franz Vranitzky Chair for European Studies, Universität Wien",https://www.bpb.de/mediathek/237524/children-of-transition-children-of-the-balkan-wars-introduction,"Einführungsvortrag zur Deutschlandforschertagung 2016 - ""Children of Transition, Children of War"" vom 3. bis 5. November 2016 in Wien.",Deutschlandforschertagung 2016
"""Crowdsourced Memory""",Erik Meyer auf httpasts://digitalmemoryonthenet,https://www.bpb.de/mediathek/857/crowdsourced-memory,"Erik Meyer, Justus-Liebig-Universität Gießen, hielt am 15.04.2011 diesen Vortrag beim Panel ""Erinnerungskulturen online – Websites und Bildungsangebote im Internet"" auf der internationalen Konferenz httpasts://digitalmemoryonthenet  in Berlin.","Erinnerungskultur, Geschichte, Internet, Neue Medien, Geschichtsvermittlung"
"""Da haben Sie etwas gut zu machen.""",Wahlaufruf zur Bundestagswahl 2009 von Dieter Hildebrandt,https://www.bpb.de/mediathek/669/da-haben-sie-etwas-gut-zu-machen-,"58 Prozent aller Deutschen sind nicht zur Europawahl gegangen, ärgert sich Kabarett-Ikone Dieter Hildebrandt. Seine Konsequenz für alle Wählerinnen und Wähler: ""Da haben Sie etwas gut zu machen."" Deshalb trommelt er im Video-Spot zum Urnengang bei de","Bundestagswahl, Wahlen, politisches Engagement, Demokratie"
"""Das Geschichtsbuch wird seine Form ändern""",Interview mit Claus Leggewie auf httpasts://digitalmemoryonthenet,https://www.bpb.de/mediathek/843/das-geschichtsbuch-wird-seine-form-aendern,"Interview mit Claus Leggewie am 14.04.2011 auf der internationalen Konferenz httpasts://digitalmemoryonthenet  in Berlin.  Das Internet verändert die Erinnerungskultur, sagt Claus Leggewie, Leiter des Kulturwissenschaftlichen Instituts in Essen. Die ","Erinnerungskultur, Geschichte, Internet, Neue Medien, Social Media, Geschichtsvermittlung"
"""Das Heimatgefühl war stärker als ideologische Debatten""",20 Jahre Einheit – Lokaljournalismus in Ostdeutschland,https://www.bpb.de/mediathek/144835/das-heimatgefuehl-war-staerker-als-ideologische-debatten,"Paul-Josef Raue, Chefredakteur der Thüringer Allgemeinen, über Unterschiede zwischen ost- und westdeutschen Lokalredaktionen, die ""revolutionäre"" Zeit nach der Wende und darüber, dass die Superillu besser ist als ihr Ruf.","Lokalzeitung, Lokaljournalismus, Zeitung, Deutsche Einheit, Presse, Heimat"
"""Das Internet hat das Potenzial das Schweigen zu brechen""",Stephan Humer auf httpasts://digitalmemoryonthenet 14.04.2011,https://www.bpb.de/mediathek/894/das-internet-hat-das-potenzial-das-schweigen-zu-brechen,"Das geschehe manchmal auch ungewollt, sagt Stephan G. Humer, Internetsoziologe, Universität der Künste. So werden im Netz vor allem kontroverse und emotionale Themen diskutiert. Dabei sollten Nutzer vorsichtig vorgehen. Man wisse nicht, wer sich die ","Gesellschaft, Internet, Erinnerungskultur, Datenschutz, Holocaust, Digitalisierung"
"""Das Internet ist kein Ersatz für den Besuch von Gedenkstätten""",Interview mit David Klevan auf httpasts://digitalmemoryonthenet,https://www.bpb.de/mediathek/846/das-internet-ist-kein-ersatz-fuer-den-besuch-von-gedenkstaetten,Interview mit David Klevan am 15.4.2011 auf der internationalen Konferenz httpasts://digitalmemoryonthenet  in Berlin. Webseiten und Soziale Netzwerke können die Arbeit von Museen und Gedenkstätten transparent machen. Ein Museumsbesuch bleibt dennoch,"Erinnerungskultur, Geschichte, Internet, Neue Medien, Social Media, Gedenkstätte, Museum, Geschichtsvermittlung"
"""Das Lokale war immer unser Prinzip""",20 Jahre Einheit – Lokaljournalismus in Ostdeutschland,https://www.bpb.de/mediathek/144839/das-lokale-war-immer-unser-prinzip,"Nach der Wiedervereinigung gab es einige Versuche, im Osten neue Zeitungen zu gründen. Einer davon war die Torgauer Zeitung, die in einem Joint Venture mit der Sindelfinger Zeitung entstand.","Lokalzeitung, Lokaljournalismus, Zeitung, Medien, Presse, Deutsche Einheit"
"""Das war ein ganz gezielter Schuß""",Die Staatsführung auf der Anklagebank,https://www.bpb.de/mediathek/315/das-war-ein-ganz-gezielter-schuss,Die ehemaligen Mitglieder des SED-Politbüros müssen sich in einem Prozess für die Erschossenen an der innerdeutschen Grenze verantworten. KONTRASTE zeigt die Schwierigkeiten bei der Aufarbeitung.,"DDR 1949 - 1990, Deutsch-deutsche Grenze, Rechtsstaat, Schießbefehl, SED"
"""Das wird man ja wohl noch sagen dürfen!“ – Akteure des antimuslimischen Rassismus",...über antimuslimischen Rassismus und Populismus,https://www.bpb.de/mediathek/297323/das-wird-man-ja-wohl-noch-sagen-duerfen-akteure-des-antimuslimischen-rassismus,"Interview mit Alexander Häusler, Forschungsschwerpunkt Rechtsextremismus/Neonazismus, Hochschule Düsseldorf","Rassismus, Muslime, Islamophobie, Fremdenfeindlichkeit, Populismus"
"""Demokratie ist ein Mannschaftssport""",Weitere Informationen,https://www.bpb.de/mediathek/253284/demokratie-ist-ein-mannschaftssport,"Das crossmediale Bildungsprojekt ""Refugee Eleven"" bringt elf Profikicker und elf geflüchtete Amateurfußballer zusammen, um über Flucht, Asyl und Integration zu sprechen. Die elf Kurzfilme werden durch ein Lehr- und Aktionsheft ergänzt. Projektproduze","refugee eleven, Fußball, Flucht, Flüchtlinge, Geflüchtete, Dokumentation, Migration"
"""Den Schüler mehr in den Mittelpunkt stellen""",Weitere Informationen,https://www.bpb.de/mediathek/258997/den-schueler-mehr-in-den-mittelpunkt-stellen,"Mit der Digitalisierung verändern sich die benötigten Kompetenzen von Lehrenden. Wir haben uns bei Teilnehmenden der Tagung Diggi17 in Köln umgehört, welche Fähigkeiten in den nächsten Jahren in den Vordergrund rücken und wie die Lehrerausbildung mit","Lehrende der Zukunft, Lehrerbildung, Lehrerkompetenzen, Lehrerfähigkeiten"
"""Den haben sie totgemacht""",Gift im Strafvollzug,https://www.bpb.de/mediathek/688/den-haben-sie-totgemacht,KONTRASTE beleuchtet Zwangseinsätze von Strafgefangenen im Chemiekombinat Bitterfeld. Die Arbeitsbedingungen dort führten zu Krankheiten und in einigen Fällen auch zum Tod.,"Strafgefangener, DDR 1949 - 1990 / Innenpolitik, Aufarbeitung, Politisches Strafrecht, politischer Gefangener"
"""Der Kastor kommt! - Eine Beziehungsgeschichte""",Lesung von und Diskussion mit Wolfgang Ehmke,https://www.bpb.de/mediathek/302457/der-kastor-kommt-eine-beziehungsgeschichte,"Lesung von und Diskussion mit Wolfgang Ehmke über seinen neuen Roman ""Der Kastor kommt! –   Eine Beziehungsgeschichte"". Die Geschichte von Robert, der sich zwischen seinem Job als Berufsschullehrer in Hamburg und seinem Engagement in einer Anti-Atom-","Kastor, Atommüll, Endlager, Bürgerinitiative, Protest"
"""Der Lehrer ist gefragter denn je""",Interview mit Benjamin Jörissen auf httpasts://digitalmemoryonthenet 16.04.2011,https://www.bpb.de/mediathek/841/der-lehrer-ist-gefragter-denn-je,"Interview mit Benjamin Jörissen, Otto-von-Guericke- Universität Magdeburg, am 15.4.2011 auf der internationalen Konferenz httpasts://digitalmemoryonthenet in Berlin.  Schüler können sich heute einen Teil des schulischen Wissens mithilfe des Internets","Erinnerungskultur, Geschichte, Internet, Geschichtsdidaktik, Geschichtsvermittlung, Bildungssystem, Neue Medien"
"""Der Luzifer-Effekt und Helden guter Taten""",Philip George Zimbardo im Interview (englisch),https://www.bpb.de/mediathek/196657/der-luzifer-effekt-und-helden-guter-taten,"Philip Zimbardo, Begründer des Stanford-Prison-Experiments, über die Bedingungen des ""Bösen"" und die Möglichkeit, gesellschaftlichen Widerstand zu stärken.","Holocaust, Stanford-Prison-Experiment, Jüdische Geschichte, Nationalsozialismus, Widerstand, politische Bildung"
"""Der Versuch, sich die größtmöglichen Freiräume zu schaffen""",Inhalt,https://www.bpb.de/mediathek/154810/der-versuch-sich-die-groesstmoeglichen-freiraeume-zu-schaffen,"Die Medienkünstlerin Else Gabriel erzählt, wie an der Dresdner Kunsthochschule die ""Autoperforationsartisten"" entstanden...","DDR, Kunst und Kultur, Friedliche Revolution"
"""Der ukrainische Rechtsextremismus wird keine Gefahr darstellen""","Dr. Andreas Umland, DAAD-Fachlektor für Europastudien an der Kiewer Mohyla-Universität",https://www.bpb.de/mediathek/182442/der-ukrainische-rechtsextremismus-wird-keine-gefahr-darstellen,"Andreas Umland, Ukraine-Experte und Mitglied des wissenschaftlichen Beirates des Europa-Ausschusses des ukrainischen Parlaments über die Rolle der Rechtsextremen in der Ukraine, die Maidan-Proteste und das Ansehen der rechtsextremen und rechtspopulis","Rechtspopulismus, Krim-Krise, Europawahl, Wahl, Rechtsextremismus, Rechtsradikalismus"
"""Desiring Walls"" oder vom Wunsch nach Grenzen","Von ""House of Cards"" bis ""Game of Thrones"". Eine Tagung über Politik in Fernsehserien",https://www.bpb.de/mediathek/238298/desiring-walls-oder-vom-wunsch-nach-grenzen,Lars Koch erklärt wie TV-Serien den aktuellen Ruf nach Mauern und Grenzen in vielen Gesellschaftsgruppen aufgreifen und reflektieren. ,"Politik, Gesellschaft, Fernsehserien, Demokratie, Medienkompetenz, Serielles Erzählen, Filmsprache, Forschung, Schule, Unterricht"
"""Deutschland, wie hast du's mit der Religion?""",Inhalt,https://www.bpb.de/mediathek/299648/deutschland-wie-hast-du-s-mit-der-religion,Prof. Dr. Detlef Pollack im Interview,"Religion, Religionspolitik, Religionssoziologie, Säkularisierungsthese, Rückkehr der Religiösen, Religionsmonitor"
"""Die Anerkennungsdimension ist wichtig""",Teil 2 des Interviews mit Matthias Grundmann,https://www.bpb.de/mediathek/223638/die-anerkennungsdimension-ist-wichtig,"Der Sozialisationsforscher Matthias Grundmann erläutert, welche Sozialisationsbedingungen den Umgang mit Krisensituationen erleichtern. Des Weiteren wird die Bedeutung der Institution Schule für die Krisenbewältigung genauer beleuchtet. Abschließend ","Sozialisation, Kriegskinder, Zweiter Weltkrieg, Krisenbewältigung, Flüchtlinge"
"""Die Hysterie der Medien macht einen vernünftigen Ton in der AfD unmöglich""",Inhalt,https://www.bpb.de/mediathek/245072/die-hysterie-der-medien-macht-einen-vernuenftigen-ton-in-der-afd-unmoeglich-,"Der Umgang der Medien mit der  ist in vielerlei Hinsicht problematisch. Das findet zumindest Die Welt Korrespondent Ulli Kulke. Man solle die Partei zwar durchaus kritisch beobachten, sie aber nicht anders behandeln als andere Parteien auch. Sonst tr","Alternative für Deutschland, Populismus, Lügenpresse"
"""Die Kreidezeit ist vorbei""",Weitere Informationen,https://www.bpb.de/mediathek/251328/die-kreidezeit-ist-vorbei,"Lernbegleiter statt Lehrer, Smartboards statt Kreidetafeln und selbstbestimmtes Lernen statt Lernen nach Lehrplan. Die Oberschule Lernhaus im Campus im niedersächsischen Osterholz-Scharmbeck entwickelte erst ihr innovatives Konzept und dann das Schul","OER, Digitale Inklusion"
"""Die Menschen daran erinnern, dass das Leben weiter geht""",Film in Afrika,https://www.bpb.de/mediathek/190810/die-menschen-daran-erinnern-dass-das-leben-weiter-geht,"Bereits 40 Filme hat Jeta Amata für ""Nollywood"", den nigerianischen Filmmarkt, gedreht. Positive Impulse sind ihm dabei wichtig.","Film, Kunst und Kultur"
"""Die Mischung macht’s!""",Interview: Digital ist besser?,https://www.bpb.de/mediathek/269392/die-mischung-machts,"Ist Unterricht besser, wenn er digital gestaltet wird? Was spricht fürs analoge Lehren und Lernen? Und welche Kriterien beeinflussen diese Entscheidung? Fünf Lehrende erzählen aus ihrer Praxis.","Digitales Lernen, Analoges Lernen, Digitale Bildung"
"""Die Männerwelt zum Wanken bringen!"" Proteste für Geschlechtergerechtigkeit",Inhalt,https://www.bpb.de/mediathek/298406/die-maennerwelt-zum-wanken-bringen-proteste-fuer-geschlechtergerechtigkeit,"Interview mit PD Dr. Hedwig Richter, Hamburger Institut für Sozialforschung","Frauen, Geschlecht, Geschlechtergerechtigkeit, Revolution, 1789, 1848, Antibabypille, #aufschrei"
"""Die Rechtsaußen-Parteien setzen ihre Opposition zu Europa in Szene""",Im Interview: Nick Startin von der University of Bath (GB),https://www.bpb.de/mediathek/182446/die-rechtsaussen-parteien-setzen-ihre-opposition-zu-europa-in-szene,Nick Startin im Interview über die Instrumentalisierung der EU als Feindbild der rechtsextremen und rechtspopulistischen Parteien.,"Rechtspopulismus, Europäisches Parlament, Europawahl, Rechtsextremismus, Rechtsradikalismus, Partei, europäische Union"
"""Die Software war von Anfang an für Schüler gedacht""",Interview: Entwicklung der Befragungs-Software GrafStat,https://www.bpb.de/mediathek/272831/die-software-war-von-anfang-an-fuer-schueler-gedacht,"Uwe Diener hat für den öffentlichen Bildungsbereich die kostenlose Befragungs-Software GrafStat entwickelt. Was das Programm bietet, wie man es im Unterricht einsetzen kann und welche Kompetenzen es fördert, erklärt er im Interview.","Ausprobiert, Materialtest, Unterrichtsmaterialien, Bildung, Digitale Bildung, Software, Unterricht, Lehrende, OER, Open Educational Resources, Interview"
"""Die Stasi wollte die neue Zeitung mit allen Mitteln verhindern""",20 Jahre Einheit – Lokaljournalismus in Ostdeutschland,https://www.bpb.de/mediathek/144833/die-stasi-wollte-die-neue-zeitung-mit-allen-mitteln-verhindern,"Ulrike Meineke, Redaktionsleiterin der Altmark Zeitung (Salzwedel), über die Gründung einer der ersten unabhängigen Zeitungen nach der Wende.","Lokalzeitung, Zeitung, Lokaljournalismus, Medien, Presse, Stasi, Rundfunk- / Pressefreiheit"
"""Die Stimmung war reformistisch""",Petr Uhl über den Prager Frühling,https://www.bpb.de/mediathek/749/die-stimmung-war-reformistisch,"Im Video-Interview mit der bpb erzählt der Publizist und Bürgerrechtler Petr Uhl von der Atmosphäre des Prager Frühlings, den Hoffnungen der Menschen, der Verbindung zu 1989 und welche Rolle 68 bei seinen Landsleuten heute noch spielt.","Prager Frühling, Tschechoslowakei, Politische Geschichte, Gesellschaftskritik"
"""Die drehscheibe war eine Provokation""",Interview mit Dieter Golombek zur Gründung des bpb-Lokaljournalistenprogramms,https://www.bpb.de/mediathek/152872/die-drehscheibe-war-eine-provokation,"Dieter Golombek hat das Lokaljournalistenprogramm der bpb gegründet. Zum 30. Jubiläum der ""drehscheibe"" - dem bpb-Magazin für Lokaljournalisten - erläutert er die Hintergründe und die heutigen Herausforderungen.","Lokaljournalismus, Lokalzeitung, Lokaljournalistenprogramm, Journalismus, Presse, Medien, Bundeszentrale für politische Bildung"
"""Die etablierten Parteien unter Druck setzen""",Die niederländische Politikwissenschaftlerin Sarah L. de lange,https://www.bpb.de/mediathek/182444/die-etablierten-parteien-unter-druck-setzen,Sarah L. de Lange über den Einfluss rechtsextremer und rechtspopulistischer Parteien auf politische Entscheidungsprozesse in den Niederlanden.,"Rechtspopulismus, Pim Fortuyn, Geert Wilders, Europawahl, Rechtsextremismus, Rechtsradikalismus, Partei"
"""Die lokale Information macht die Volksstimme einzigartig""",20 Jahre Einheit – Lokaljournalismus in Ostdeutschland,https://www.bpb.de/mediathek/144837/die-lokale-information-macht-die-volksstimme-einzigartig,"Günther Tyllack, stellvertretender Chefredakteur der Volksstimme (Magdeburg), sieht in der Zeitung einen ""identitätsstiftenden Begleiter"", der eine wichtige Rolle im Wandel der vergangenen 20 Jahre gespielt habe.","Lokalzeitung, Zeitung, Lokaljournalismus, Presse, Medien, Wiedervereinigung"
"""Die sollen weg hier!"" Proteste gegen ""Fremde""",Inhalt,https://www.bpb.de/mediathek/298602/die-sollen-weg-hier-proteste-gegen-fremde,"Interview mit Verena Stern, Wissenschaftliche Mitarbeiterin im Bereich Konfliktsoziologie im Projekt ""Willkommen oder beschimpft"", Universität Bielefeld","Protest, Fremde, Fremdenfeindlichkeit, Gastarbeiter, Geflüchtete"
"""Die wissen überhaupt nicht, was Inklusion ist""",Weitere Informationen,https://www.bpb.de/mediathek/218322/die-wissen-ueberhaupt-nicht-was-inklusion-ist,Diskriminierungen verlaufen entlang verschiedener Linien. Inklusion hat dementsprechend verschiedene Dimensionen und muss unterschiedliche Gruppen miteinbeziehen – auch in der Schule. Doch wie sensibel sind Lehrende für die unterschiedlichen Arten vo,"Inklusion, Digitalisierung, Gesellschaft, inklusiv politisch bilden"
"""Digitalisierung stellt Schule vor große Herausforderungen""",Interview mit Daniel Eisenmenger auf httpasts://digitalmemoryonthenet 16.04.2011,https://www.bpb.de/mediathek/845/digitalisierung-stellt-schule-vor-grosse-herausforderungen,"Interview mit Daniel Eisenmenger, Lehrer und Koordinator im Landesprogramm ""Medienkompetenz macht Schule"" am 16.04.2011 auf der internationalen Konferenz httpasts://digitalmemoryonthenet in Berlin.  Web 2.0 und Neue Medien bieten neue Ansätze für Leh","Erinnerungskultur, Geschichte, Internet, Geschichtsdidaktik, Neue Medien"
"""Du musst es nicht schon immer gewusst haben""",Projekt Trans*?! JAUND?,https://www.bpb.de/mediathek/279779/du-musst-es-nicht-schon-immer-gewusst-haben-," Schreib es auf und trag es vor – so funktionieren die Workshops von Trans*JaUnd. Das Konzept aus Schreiben und Performen ermächtigt trans* Jugendliche sich mit Fragen zu geschlechtlicher Identität, Outing oder gesellschaftlichen Normen auf kreative ","Trans*, Geschlechterordnung, Geschlechterrollen, Empowerment, Diskrimineirung, Jugendliche"
"""EU-Skepsis ist für eine Debatte notwendig""","Cas Mudde, Politikwissenschaftler an der Universität Georgia",https://www.bpb.de/mediathek/182443/eu-skepsis-ist-fuer-eine-debatte-notwendig,"Cas Mudde beschreibt im Interview die mediale und politische Rezeption der EU-kritischen Stimmen der Rechtspopulisten und bezweifelt, dass rechtspopulistische Parteien bei den kommenden EU-Wahlen entscheidende Stimmengewinne verbuchen werden.","Rechtspopulismus, EU-Skepsis, Europawahl, Rechtsextremismus, Rechtsradikalismus, europäische Union"
"""Ein Ausschnitt aus Anne Franks Leben""",Interview mit Ita Amahorseija auf httpasts://digitalmemoryonthenet,https://www.bpb.de/mediathek/868/ein-ausschnitt-aus-anne-franks-leben,"Interview mit Ita Amahorseija, Anne Frank House, Amsterdam am 15.04.2011 auf der internationalen Konferenz httpasts://digitalmemoryonthenet  in Berlin.  Das Internet stellte das Anne-Frank-Haus vor Herausforderungen: Im ""Hinterhaus Online"" war es nic","Erinnerungskultur, Geschichte, Internet, Neue Medien, Geschichtsvermittlung"
"""Ein Ort der bunt und farbig ist""",Interview mit Jan Krebs,https://www.bpb.de/mediathek/194397/ein-ort-der-bunt-und-farbig-ist,"Jan Krebs, Gesicht Zeigen!, im Video-Interview mit Miriam Menzel auf der 4. Internationalen Konferenz zur Holocaustforschung.","Ausgrenzung, Holocaust, Drittes Reich 1933 - 1945, NS-Terror, Nationalsozialismus, Erinnerungskultur"
"""Ein Traum ist wahr geworden""",Rowland Issifu Alhassan im Interview,https://www.bpb.de/mediathek/276/ein-traum-ist-wahr-geworden,Der Botschafter Ghanas spricht über die Fußball-Begeisterung der Ghanesen und die Unterstützung ihrer Mannschaft bei der Fußball-WM 2006.,"Fußball-WM 2006, nationale Identität, Fußball, Fußballweltmeisterschaft"
"""Ein bunter Strauß an Formaten""",Ausprobiert: Entwicklung der Whitboard-Anwendungen Markt und Wirtschaft,https://www.bpb.de/mediathek/272832/ein-bunter-strauss-an-formaten,"Jana Both hat im Rahmen von HanisauLand die Whiteboard-Anwendungen ""Markt und Wirtschaft"" entwickelt. Im Interview spricht sie über die zentralen Themen des Materials und Einsatzmöglichkeiten für Lehrende im Unterricht.","Ausprobiert, Materialtest, Unterrichtsmaterialien, Bildung, Digitale Bildung, Unterricht, Schule, Interview, Whiteboard, Lehrende"
"""Ein epochaler Wandel"" – Interview mit Beate Schulz-Montag",Inhalt,https://www.bpb.de/mediathek/245031/ein-epochaler-wandel-interview-mit-beate-schulz-montag,"Weg von der klassischen Arbeitsgesellschaft, hin zur Tätigkeitsgesellschaft – diesen Wandlungsprozess hält Beate Schulz-Montag, Zukunftsforscherin am foresightlab und Dozentin an der FU Berlin, für unerlässlich. Allgemein mangelt es ihr an einem Bewu","Arbeit, Zukunft, Zukunft der Arbeit, Automatisierung"
